----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
  StochasticDepth-95          [-1, 384, 14, 14]               0
          CNBlock-96          [-1, 384, 14, 14]               0
           Conv2d-97          [-1, 384, 14, 14]          19,200
          Permute-98          [-1, 14, 14, 384]               0
        LayerNorm-99          [-1, 14, 14, 384]             768
          Linear-100         [-1, 14, 14, 1536]         591,360
            GELU-101         [-1, 14, 14, 1536]               0
          Linear-102          [-1, 14, 14, 384]         590,208
         Permute-103          [-1, 384, 14, 14]               0
 StochasticDepth-104          [-1, 384, 14, 14]               0
         CNBlock-105          [-1, 384, 14, 14]               0
          Conv2d-106          [-1, 384, 14, 14]          19,200
         Permute-107          [-1, 14, 14, 384]               0
       LayerNorm-108          [-1, 14, 14, 384]             768
          Linear-109         [-1, 14, 14, 1536]         591,360
            GELU-110         [-1, 14, 14, 1536]               0
          Linear-111          [-1, 14, 14, 384]         590,208
         Permute-112          [-1, 384, 14, 14]               0
 StochasticDepth-113          [-1, 384, 14, 14]               0
         CNBlock-114          [-1, 384, 14, 14]               0
          Conv2d-115          [-1, 384, 14, 14]          19,200
         Permute-116          [-1, 14, 14, 384]               0
       LayerNorm-117          [-1, 14, 14, 384]             768
          Linear-118         [-1, 14, 14, 1536]         591,360
            GELU-119         [-1, 14, 14, 1536]               0
          Linear-120          [-1, 14, 14, 384]         590,208
         Permute-121          [-1, 384, 14, 14]               0
 StochasticDepth-122          [-1, 384, 14, 14]               0
         CNBlock-123          [-1, 384, 14, 14]               0
          Conv2d-124          [-1, 384, 14, 14]          19,200
         Permute-125          [-1, 14, 14, 384]               0
       LayerNorm-126          [-1, 14, 14, 384]             768
          Linear-127         [-1, 14, 14, 1536]         591,360
            GELU-128         [-1, 14, 14, 1536]               0
          Linear-129          [-1, 14, 14, 384]         590,208
         Permute-130          [-1, 384, 14, 14]               0
 StochasticDepth-131          [-1, 384, 14, 14]               0
         CNBlock-132          [-1, 384, 14, 14]               0
          Conv2d-133          [-1, 384, 14, 14]          19,200
         Permute-134          [-1, 14, 14, 384]               0
       LayerNorm-135          [-1, 14, 14, 384]             768
          Linear-136         [-1, 14, 14, 1536]         591,360
            GELU-137         [-1, 14, 14, 1536]               0
          Linear-138          [-1, 14, 14, 384]         590,208
         Permute-139          [-1, 384, 14, 14]               0
 StochasticDepth-140          [-1, 384, 14, 14]               0
         CNBlock-141          [-1, 384, 14, 14]               0
     LayerNorm2d-142          [-1, 384, 14, 14]             768
          Conv2d-143            [-1, 768, 7, 7]       1,180,416
          Conv2d-144            [-1, 768, 7, 7]          38,400
         Permute-145            [-1, 7, 7, 768]               0
       LayerNorm-146            [-1, 7, 7, 768]           1,536
          Linear-147           [-1, 7, 7, 3072]       2,362,368
            GELU-148           [-1, 7, 7, 3072]               0
          Linear-149            [-1, 7, 7, 768]       2,360,064
         Permute-150            [-1, 768, 7, 7]               0
 StochasticDepth-151            [-1, 768, 7, 7]               0
         CNBlock-152            [-1, 768, 7, 7]               0
          Conv2d-153            [-1, 768, 7, 7]          38,400
         Permute-154            [-1, 7, 7, 768]               0
       LayerNorm-155            [-1, 7, 7, 768]           1,536
          Linear-156           [-1, 7, 7, 3072]       2,362,368
            GELU-157           [-1, 7, 7, 3072]               0
          Linear-158            [-1, 7, 7, 768]       2,360,064
         Permute-159            [-1, 768, 7, 7]               0
 StochasticDepth-160            [-1, 768, 7, 7]               0
         CNBlock-161            [-1, 768, 7, 7]               0
          Conv2d-162            [-1, 768, 7, 7]          38,400
         Permute-163            [-1, 7, 7, 768]               0
       LayerNorm-164            [-1, 7, 7, 768]           1,536
          Linear-165           [-1, 7, 7, 3072]       2,362,368
            GELU-166           [-1, 7, 7, 3072]               0
          Linear-167            [-1, 7, 7, 768]       2,360,064
         Permute-168            [-1, 768, 7, 7]               0
 StochasticDepth-169            [-1, 768, 7, 7]               0
         CNBlock-170            [-1, 768, 7, 7]               0
AdaptiveAvgPool2d-171            [-1, 768, 1, 1]               0
     LayerNorm2d-172            [-1, 768, 1, 1]           1,536
         Flatten-173                  [-1, 768]               0
          Linear-174                 [-1, 1000]         769,000
================================================================
Total params: 28,582,504
Trainable params: 28,582,504
Non-trainable params: 0
----------------------------------------------------------------
Input size (MB): 0.57
Forward/backward pass size (MB): 256.13
Params size (MB): 109.03
Estimated Total Size (MB): 365.73
----------------------------------------------------------------
